,title,price,link
10,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ","15,650",https://amazon.in//gp/bestsellers/amazon-renewed/95093750031/ref=sr_bs_12_95093750031_1
11,"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ","32,990",https://amazon.in//Acer-5-5625U-Premium-Windows-AL15-41/dp/B0DG2GCTD7/ref=sr_1_14?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-14
12,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.48kg Laptop  ","33,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4Nzg1MzY0MjUwNDM5NzU4OjE3Mjg4Mzk2OTI6c3BfYXRmOjMwMDA2ODcxNjY4MTEzMjo6MDo6&url=%2FDell-Smartchoice-i3-1215U-Processor-Spill-Resistant%2Fdp%2FB0BQJ68HHC%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1728839692%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
13,"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop(Win11Home/12GB RAM/512GB SSD/Intel UHD Graphics/MSO)AL15-52H, 39.62cm(15.6"") FHD IPS Display, Backlit Keyboard, Pure Silver, 1.7KG  ","39,990",https://amazon.in//Acer-i5-12450H-Win11Home-Graphics-AL15-52H/dp/B0DDL4CPZ5/ref=sr_1_15?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-15
14,"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4+512GB SSD/Intel UHD Graphics/15 Inch (38cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill Resistant KB/1.69kg  ","47,990",https://amazon.in//Dell-15-Processor-Antivirus-Spill-Resistant/dp/B0BQJ7WR2R/ref=sr_1_16?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-16
15,"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/MSO 21/1Yr ADP Free/Alexa Built-in/3 mon Game Pass/Grey/1.6Kg), 83EM008GIN  ","59,990",https://amazon.in//Lenovo-IdeaPad-i7-13620H-38-1cm-83EM008GIN/dp/B0D6NCVQZQ/ref=sr_1_17?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-17
16,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","36,990",https://amazon.in//Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_18?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-18
17,"ASUS X515, 15.6"" FHD (1920 x 1080) 16:9, 60Hz 200nits, Intel Pentium Gold 7505, Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11/Office Home/37WHr Battery/Transparent Silver/1.80 kg), X1500EA-EJ122WS  ","23,990",https://amazon.in//ASUS-Vivobook-15-6-inch-Intergrated-X1500EA-EJ122WS/dp/B0CZ3K42DX/ref=sr_1_19?dib=eyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE&dib_tag=se&keywords=laptops&qid=1728839692&sr=8-19
18,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey  ","59,990",https://amazon.in//gp/bestsellers/computers/22963796031/ref=sr_bs_19_22963796031_1
19,"Lenovo LOQ 2024 Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (24GB/512GB SSD/Win 11/NVIDIA RTX 3050 6GB Graphics/1Yr ADP Free/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS0098IN  ","69,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4Nzg1MzY0MjUwNDM5NzU4OjE3Mjg4Mzk2OTI6c3BfYnRmOjMwMDM0MTk2OTg4MDAzMjo6MDo6&url=%2FLenovo-i5-12450HX-300Nits-Graphics-83GS0098IN%2Fdp%2FB0DB218DK7%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.0yK2l9sAtFSM5oX7Z1gIgKgceZ2IJOiszkuLcYhlpe3N6lwMpJkLZlD_Vs2c9QM5oT9BuF_9azRdm8XvLrxrydZu9_-iWVVHGPTILIFGqHXDPkg5tqzHvj7kTdjKdWyWAu6A9ChbzlpK_8JvDNgKRyoyTpH_vsI_Jpke1cd0H7N7aLA994C846c1jZXWpMBjjaUBD8xXt5Qryky3hbO8P1yiCT3F_-2HfuCSB9XO0NI.O_XJOVXlYxL-M_vsSN7nueONB8jvpp8nVXP57P5_cyE%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1728839692%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
